Wed Nov 30 15:28:16 2022    profile/example_Satori_batch_2_nodes10

         7792 function calls (7708 primitive calls) in 123.059 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        2    0.000    0.000    0.000    0.000 sre_compile.py:456(_generate_overlap_table)
        2    0.000    0.000    0.000    0.000 {built-in method posix.waitstatus_to_exitcode}
        2    0.000    0.000    0.000    0.000 {method 'getbuffer' of '_io.BytesIO' objects}
        1    0.000    0.000    0.000    0.000 {built-in method posix.uname}
        1    0.000    0.000    0.000    0.000 popen_spawn_posix.py:16(_DupFd)
        7    0.000    0.000    0.000    0.000 {built-in method _free_weak_ref}
        1    0.000    0.000    0.000    0.000 popen_fork.py:12(Popen)
        4    0.000    0.000    0.000    0.000 context.py:197(get_start_method)
        2    0.000    0.000    0.000    0.000 connection.py:938(<listcomp>)
        5    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:736(find_spec)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1179(exec_module)
        4    0.000    0.000    0.000    0.000 synchronize.py:90(_make_methods)
        2    0.000    0.000    0.000    0.000 utils.py:284(__enter__)
       32    0.000    0.000    0.000    0.000 {method 'bit_length' of 'int' objects}
       18    0.000    0.000    0.000    0.000 {method 'find' of 'str' objects}
       14    0.000    0.000    0.000    0.000 {method 'storage_offset' of 'torch._C._TensorBase' objects}
        2    0.000    0.000    0.000    0.000 _weakrefset.py:39(_remove)
        2    0.000    0.000    0.000    0.000 process.py:247(sentinel)
        1    0.000    0.000    0.000    0.000 {built-in method _locale.nl_langinfo}
        6    0.000    0.000    0.000    0.000 spawn.py:87(<genexpr>)
        4    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1006(__init__)
        7    0.000    0.000    0.000    0.000 {method 'seek' of '_io.BufferedReader' objects}
        2    0.000    0.000    0.000    0.000 argparse.py:1517(_get_positional_kwargs)
        4    0.000    0.000    0.000    0.000 __init__.py:464(__getnewargs__)
        6    0.000    0.000    0.000    0.000 {built-in method _sre.compile}
        2    0.000    0.000    0.000    0.000 {built-in method select.poll}
        3    0.000    0.000    0.000    0.000 sre_compile.py:516(_get_charset_prefix)
        7    0.000    0.000    0.000    0.000 serialization.py:815(_get_restore_location)
        2    0.000    0.000    0.000    0.000 utils.py:289(stop)
        3    0.000    0.000    0.000    0.000 subprocess.py:272(_optim_args_from_interpreter_flags)
        6    0.000    0.000    0.000    0.000 sre_parse.py:76(__init__)
        4    0.000    0.000    0.000    0.000 connection.py:173(fileno)
        4    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:35(_new_module)
        1    0.000    0.000    0.000    0.000 __init__.py:74(is_available)
        1    0.000    0.000    0.000    0.000 argparse.py:1086(__init__)
       30    0.000    0.000    0.000    0.000 {built-in method _imp.release_lock}
       43    0.000    0.000    0.000    0.000 {method 'setdefault' of 'dict' objects}
        4    0.000    0.000    0.000    0.000 os.py:758(decode)
        1    0.000    0.000    0.000    0.000 posixpath.py:140(basename)
        7    0.000    0.000    0.000    0.000 serialization.py:314(_check_dill_version)
        7    0.000    0.000    0.000    0.000 serialization.py:126(_cpu_deserialize)
       13    0.000    0.000    0.000    0.000 posixpath.py:41(_get_sep)
       32    0.000    0.000    0.000    0.000 {method 'add' of 'set' objects}
        8    0.000    0.000    0.000    0.000 process.py:99(_check_closed)
       18    0.000    0.000    0.000    0.000 popen_spawn_posix.py:17(__init__)
        7    0.000    0.000    0.000    0.000 context.py:187(get_context)
        3    0.000    0.000    0.000    0.000 selectors.py:21(_fileobj_to_fd)
        6    0.000    0.000    0.000    0.000 context.py:357(assert_spawning)
        3    0.000    0.000    0.000    0.000 argparse.py:1571(_get_handler)
        2    0.000    0.000    0.000    0.000 queues.py:355(__getstate__)
        6    0.000    0.000    0.000    0.000 sre_parse.py:928(fix_flags)
