,ncalls,tottime,percall,cumtime,percall2,filename:lineno(function)
0,1,0.0,0.0,0.0,0.0, argparse.py:2468(<listcomp>)
1,1,0.0,0.0,0.0,0.0, {built-in method builtins.iter}
2,1,0.0,0.0,0.0,0.0, context.py:213(_check_available)
3,1,0.0,0.0,0.0,0.0, {method 'groups' of 're.Match' objects}
4,1,0.0,0.0,0.0,0.0, {method 'write' of '_io.TextIOWrapper' objects}
5,1,0.0,0.0,0.0,0.0, argparse.py:134(_get_args)
6,1,0.0,0.0,0.0,0.0, argparse.py:1295(__init__)
7,1,0.0,0.0,0.0,0.0, {built-in method _imp.exec_dynamic}
8,1,0.0,0.0,0.0,0.0, __init__.py:96(<lambda>)
9,2,0.0,0.0,0.0,0.0, {built-in method _stat.S_ISDIR}
10,2,0.0,0.0,0.0,0.0, selectors.py:200(__enter__)
11,1,0.0,0.0,0.0,0.0, {method 'values' of 'dict' objects}
12,4,0.0,0.0,0.0,0.0, <frozen importlib._bootstrap_external>:1031(get_filename)
13,1,0.0,0.0,0.0,0.0, popen_spawn_posix.py:16(_DupFd)
14,3,0.0,0.0,0.0,0.0, spawn.py:45(get_executable)
15,1,0.0,0.0,0.0,0.0, argparse.py:958(__call__)
16,4,0.0,0.0,0.0,0.0, process.py:37(current_process)
17,4,0.0,0.0,0.0,0.0, sre_parse.py:163(__delitem__)
18,4,0.0,0.0,0.0,0.0, <frozen importlib._bootstrap_external>:841(create_module)
19,4,0.0,0.0,0.0,0.0, connection.py:168(writable)
20,2,0.0,0.0,0.0,0.0, process.py:205(daemon)
21,2,0.0,0.0,0.0,0.0, process.py:213(authkey)
22,1,0.0,0.0,0.0,0.0, argparse.py:2177(<listcomp>)
23,5,0.0,0.0,0.0,0.0, <frozen importlib._bootstrap>:406(has_location)
24,1,0.0,0.0,0.0,0.0, {built-in method builtins.locals}
25,1,0.0,0.0,0.0,0.0, {method 'disable' of '_lsprof.Profiler' objects}
26,1,0.0,0.0,0.0,0.0, popen_spawn_posix.py:26(Popen)
27,2,0.0,0.0,0.0,0.0, {built-in method posix.waitstatus_to_exitcode}
28,2,0.0,0.0,0.0,0.0, {method 'size' of 'torch._C.HalfStorageBase' objects}
29,3,0.0,0.0,0.0,0.0, {method 'index' of 'str' objects}
30,4,0.0,0.0,0.0,0.0, connection.py:139(_check_closed)
31,8,0.0,0.0,0.0,0.0, <frozen importlib._bootstrap_external>:68(_relax_case)
32,10,0.0,0.0,0.0,0.0, {built-in method builtins.ord}
33,2,0.0,0.0,0.0,0.0, {method '_weak_ref' of 'torch._C.HalfStorageBase' objects}
34,6,0.0,0.0,0.0,0.0, util.py:44(sub_debug)
35,7,0.0,0.0,0.0,0.0, serialization.py:205(__exit__)
36,1,0.0,0.0,0.0,0.0, codecs.py:186(__init__)
37,1,0.0,0.0,0.0,0.0, <frozen importlib._bootstrap_external>:175(_path_isabs)
38,4,0.0,0.0,0.0,0.0, {built-in method time.perf_counter_ns}
39,4,0.0,0.0,0.0,0.0, {built-in method builtins.id}
40,7,0.0,0.0,0.0,0.0, argparse.py:613(<listcomp>)
41,4,0.0,0.0,0.0,0.0, connection.py:163(readable)
42,5,0.0,0.0,0.0,0.0, {method 'get' of 'mappingproxy' objects}
43,2,0.0,0.0,0.0,0.0, argparse.py:579(<listcomp>)
44,7,0.0,0.0,0.0,0.0, storage.py:13(__init__)
45,1,0.0,0.0,0.0,0.0, {built-in method _imp.is_builtin}
46,4,0.0,0.0,0.0,0.0, {method 'decode' of 'bytes' objects}
47,11,0.0,0.0,0.0,0.0, {method 'extend' of 'list' objects}
48,10,0.0,0.0,0.0,0.0, {built-in method _thread.get_ident}
49,1,0.0,0.0,0.0,0.0, argparse.py:1817(<listcomp>)
50,15,0.0,0.0,0.0,0.0, {method 'isalnum' of 'str' objects}
51,4,0.0,0.0,0.0,0.0, util.py:48(debug)
52,2,0.0,0.0,0.0,0.0, connection.py:938(<listcomp>)
53,2,0.0,0.0,0.0,0.0, {method 'clear' of 'dict' objects}
54,3,0.0,0.0,0.0,0.0, {method 'register' of 'select.poll' objects}
55,4,0.0,0.0,0.0,0.0, {method 'find' of 'bytearray' objects}
56,1,0.0,0.0,0.0,0.0, argparse.py:2173(<listcomp>)
57,12,0.0,0.0,0.0,0.0, {method 'group' of 're.Match' objects}
58,2,0.0,0.0,0.0,0.0, {method 'write' of '_io.BufferedWriter' objects}
59,9,0.0,0.0,0.0,0.0, sre_parse.py:169(__setitem__)
60,12,0.0,0.0,0.0,0.0, {method 'items' of 'dict' objects}
61,2,0.0,0.0,0.0,0.0, {method 'index' of 'list' objects}
62,2,0.0,0.0,0.0,0.0, {built-in method torch._C._cuda_getDeviceCount}
63,10,0.0,0.0,0.0,0.0, sre_compile.py:477(_get_iscased)
64,2,0.0,0.0,0.0,0.0, utils.py:280(__init__)
65,7,0.0,0.0,0.0,0.0, {method 'clear' of 'list' objects}
66,7,0.0,0.0,0.0,0.0, sre_compile.py:81(_combine_flags)
67,1,0.0,0.0,0.0,0.0, resource_tracker.py:46(ResourceTracker)
68,14,0.0,0.0,0.0,0.0, {method 'lower' of 'str' objects}
69,1,0.0,0.0,0.0,0.0, resource_tracker.py:48(__init__)
70,13,0.0,0.0,0.0,0.0, argparse.py:2501(_check_value)
71,7,0.0,0.0,0.0,0.0, {built-in method torch._C._has_torch_function_unary}
72,12,0.0,0.0,0.0,0.0, {method '_weak_ref' of 'torch._C.LongStorageBase' objects}
73,1,0.0,0.0,0.0,0.0, {built-in method posix.uname}
74,9,0.0,0.0,0.0,0.0, {method 'rfind' of 'str' objects}
75,1,0.0,0.0,0.0,0.0, argparse.py:1816(_get_positional_actions)
76,14,0.0,0.0,0.0,0.0, {method 'remove' of 'list' objects}
77,1,0.0,0.0,0.0,0.0, popen_fork.py:12(Popen)
78,12,0.0,0.0,0.0,0.0, {method 'size' of 'torch._C.LongStorageBase' objects}
79,18,0.0,0.0,0.0,0.0, {method 'find' of 'str' objects}
80,5,0.0,0.0,0.0,0.0, {built-in method _imp.is_frozen}
81,12,0.0,0.0,0.0,0.0, {built-in method from_bytes}
82,14,0.0,0.0,0.0,0.0, {method 'has_names' of 'torch._C._TensorBase' objects}
83,2,0.0,0.0,0.0,0.0, {method 'copy' of 'list' objects}
84,1,0.0,0.0,0.0,0.0, <frozen importlib._bootstrap_external>:1155(__init__)
85,2,0.0,0.0,0.0,0.0, sre_compile.py:456(_generate_overlap_table)
86,23,0.0,0.0,0.0,0.0, {method 'reverse' of 'list' objects}
87,4,0.0,0.0,0.0,0.0, __init__.py:464(__getnewargs__)
88,32,0.0,0.0,0.0,0.0, {method 'bit_length' of 'int' objects}
89,3,0.0,0.0,0.0,0.0, selectors.py:21(_fileobj_to_fd)
90,4,0.0,0.0,0.0,0.0, {built-in method _weakref._remove_dead_weakref}
91,4,0.0,0.0,0.0,0.0, {built-in method _imp._fix_co_filename}
92,2,0.0,0.0,0.0,0.0, _weakrefset.py:39(_remove)
93,5,0.0,0.0,0.0,0.0, <frozen importlib._bootstrap>:152(__init__)
94,4,0.0,0.0,0.0,0.0, connection.py:173(fileno)
95,2,0.0,0.0,0.0,0.0, selectors.py:276(_key_from_fd)
96,6,0.0,0.0,0.0,0.0, {built-in method _sre.compile}
97,6,0.0,0.0,0.0,0.0, spawn.py:87(<genexpr>)
98,7,0.0,0.0,0.0,0.0, {built-in method _free_weak_ref}
99,9,0.0,0.0,0.0,0.0, {method 'keys' of 'dict' objects}
100,7,0.0,0.0,0.0,0.0, serialization.py:815(_get_restore_location)
101,14,0.0,0.0,0.0,0.0, serialization.py:202(__enter__)
102,14,0.0,0.0,0.0,0.0, {method 'storage_offset' of 'torch._C._TensorBase' objects}
103,2,0.0,0.0,0.0,0.0, context.py:249(get_start_method)
104,2,0.0,0.0,0.0,0.0, process.py:247(sentinel)
105,4,0.0,0.0,0.0,0.0, context.py:197(get_start_method)
106,2,0.0,0.0,0.0,0.0, argparse.py:1517(_get_positional_kwargs)
107,1,0.0,0.0,0.0,0.0, posixpath.py:140(basename)
108,1,0.0,0.0,0.0,0.0, main.py:69(get_model_type)
109,1,0.0,0.0,0.0,0.0, {built-in method _locale.nl_langinfo}
110,2,0.0,0.0,0.0,0.0, {method 'getbuffer' of '_io.BytesIO' objects}
111,43,0.0,0.0,0.0,0.0, {method 'setdefault' of 'dict' objects}
112,4,0.0,0.0,0.0,0.0, os.py:758(decode)
113,2,0.0,0.0,0.0,0.0, utils.py:289(stop)
114,6,0.0,0.0,0.0,0.0, sre_parse.py:76(__init__)
115,8,0.0,0.0,0.0,0.0, process.py:99(_check_closed)
116,2,0.0,0.0,0.0,0.0, utils.py:284(__enter__)
117,5,0.0,0.0,0.0,0.0, <frozen importlib._bootstrap>:736(find_spec)
118,1,0.0,0.0,0.0,0.0, __init__.py:74(is_available)
119,7,0.0,0.0,0.0,0.0, {method 'seek' of '_io.BufferedReader' objects}
120,7,0.0,0.0,0.0,0.0, serialization.py:126(_cpu_deserialize)
121,12,0.0,0.0,0.0,0.0, {method 'split' of 'str' objects}
122,3,0.0,0.0,0.0,0.0, subprocess.py:272(_optim_args_from_interpreter_flags)
123,18,0.0,0.0,0.0,0.0, popen_spawn_posix.py:17(__init__)
124,3,0.0,0.0,0.0,0.0, sre_compile.py:516(_get_charset_prefix)
125,4,0.0,0.0,0.0,0.0, <frozen importlib._bootstrap>:35(_new_module)
126,2,0.0,0.0,0.0,0.0, {built-in method select.poll}
127,6,0.0,0.0,0.0,0.0, context.py:357(assert_spawning)
128,2,0.0,0.0,0.0,0.0, process.py:224(exitcode)
129,7,0.0,0.0,0.0,0.0, context.py:187(get_context)
130,2,0.0,0.0,0.0,0.0, {built-in method posix.putenv}
131,13,0.0,0.0,0.0,0.0, posixpath.py:41(_get_sep)
132,1,0.0,0.0,0.0,0.0, argparse.py:1086(__init__)
133,2,0.0,0.0,0.0,0.0, process.py:189(name)
134,21,0.0,0.0,0.0,0.0, __init__.py:62(get_sharing_strategy)
135,3,0.0,0.0,0.0,0.0, argparse.py:1571(_get_handler)
136,30,0.0,0.0,0.0,0.0, {built-in method _imp.release_lock}
137,4,0.0,0.0,0.0,0.0, <frozen importlib._bootstrap_external>:1006(__init__)
138,3,0.0,0.0,0.0,0.0, selectors.py:216(_fileobj_lookup)
139,4,0.0,0.0,0.0,0.0, <frozen importlib._bootstrap_external>:523(_check_name_wrapper)
140,6,0.0,0.0,0.0,0.0, sre_parse.py:928(fix_flags)
141,2,0.0,0.0,0.0,0.0, queues.py:355(__getstate__)
142,1,0.0,0.0,0.0,0.0, __init__.py:451(device_count)
143,7,0.0,0.0,0.0,0.0, serialization.py:314(_check_dill_version)
144,9,0.0,0.0,0.0,0.0, <frozen importlib._bootstrap_external>:1346(_path_importer_cache)
145,1,0.0,0.0,0.0,0.0, <frozen importlib._bootstrap_external>:1179(exec_module)
