,ncalls,tottime,percall,cumtime,percall2,filename:lineno(function)
0,1,0.0,0.0,0.0,0.0, {built-in method builtins.iter}
1,1,0.0,0.0,0.0,0.0, argparse.py:2468(<listcomp>)
2,1,0.0,0.0,0.0,0.0, {method 'write' of '_io.TextIOWrapper' objects}
3,1,0.0,0.0,0.0,0.0, __init__.py:96(<lambda>)
4,1,0.0,0.0,0.0,0.0, argparse.py:134(_get_args)
5,1,0.0,0.0,0.0,0.0, context.py:213(_check_available)
6,1,0.0,0.0,0.0,0.0, {method 'groups' of 're.Match' objects}
7,2,0.0,0.0,0.0,0.0, selectors.py:200(__enter__)
8,1,0.0,0.0,0.0,0.0, argparse.py:1295(__init__)
9,1,0.0,0.0,0.0,0.0, {built-in method _imp.exec_dynamic}
10,2,0.0,0.0,0.0,0.0, {built-in method _stat.S_ISDIR}
11,1,0.0,0.0,0.0,0.0, {method 'values' of 'dict' objects}
12,4,0.0,0.0,0.0,0.0, <frozen importlib._bootstrap_external>:841(create_module)
13,3,0.0,0.0,0.0,0.0, spawn.py:45(get_executable)
14,4,0.0,0.0,0.0,0.0, <frozen importlib._bootstrap_external>:1031(get_filename)
15,2,0.0,0.0,0.0,0.0, process.py:213(authkey)
16,2,0.0,0.0,0.0,0.0, process.py:205(daemon)
17,1,0.0,0.0,0.0,0.0, <frozen importlib._bootstrap_external>:175(_path_isabs)
18,1,0.0,0.0,0.0,0.0, popen_spawn_posix.py:26(Popen)
19,1,0.0,0.0,0.0,0.0, argparse.py:958(__call__)
20,4,0.0,0.0,0.0,0.0, sre_parse.py:163(__delitem__)
21,4,0.0,0.0,0.0,0.0, connection.py:168(writable)
22,5,0.0,0.0,0.0,0.0, <frozen importlib._bootstrap>:406(has_location)
23,1,0.0,0.0,0.0,0.0, {built-in method builtins.locals}
24,1,0.0,0.0,0.0,0.0, {built-in method _imp.is_builtin}
25,3,0.0,0.0,0.0,0.0, {method 'index' of 'str' objects}
26,1,0.0,0.0,0.0,0.0, argparse.py:2177(<listcomp>)
27,10,0.0,0.0,0.0,0.0, {built-in method builtins.ord}
28,8,0.0,0.0,0.0,0.0, <frozen importlib._bootstrap_external>:68(_relax_case)
29,1,0.0,0.0,0.0,0.0, codecs.py:186(__init__)
30,1,0.0,0.0,0.0,0.0, {method 'disable' of '_lsprof.Profiler' objects}
31,6,0.0,0.0,0.0,0.0, util.py:44(sub_debug)
32,4,0.0,0.0,0.0,0.0, {built-in method time.perf_counter_ns}
33,2,0.0,0.0,0.0,0.0, {method '_weak_ref' of 'torch._C.HalfStorageBase' objects}
34,4,0.0,0.0,0.0,0.0, {built-in method builtins.id}
35,4,0.0,0.0,0.0,0.0, connection.py:139(_check_closed)
36,7,0.0,0.0,0.0,0.0, argparse.py:613(<listcomp>)
37,5,0.0,0.0,0.0,0.0, {method 'get' of 'mappingproxy' objects}
38,2,0.0,0.0,0.0,0.0, utils.py:280(__init__)
39,7,0.0,0.0,0.0,0.0, storage.py:13(__init__)
40,2,0.0,0.0,0.0,0.0, {method 'size' of 'torch._C.HalfStorageBase' objects}
41,4,0.0,0.0,0.0,0.0, {method 'decode' of 'bytes' objects}
42,4,0.0,0.0,0.0,0.0, util.py:48(debug)
43,7,0.0,0.0,0.0,0.0, serialization.py:205(__exit__)
44,4,0.0,0.0,0.0,0.0, process.py:37(current_process)
45,11,0.0,0.0,0.0,0.0, {method 'extend' of 'list' objects}
46,2,0.0,0.0,0.0,0.0, argparse.py:579(<listcomp>)
47,1,0.0,0.0,0.0,0.0, argparse.py:1817(<listcomp>)
48,4,0.0,0.0,0.0,0.0, connection.py:163(readable)
49,7,0.0,0.0,0.0,0.0, {method 'clear' of 'list' objects}
50,4,0.0,0.0,0.0,0.0, {method 'find' of 'bytearray' objects}
51,2,0.0,0.0,0.0,0.0, {method 'write' of '_io.BufferedWriter' objects}
52,10,0.0,0.0,0.0,0.0, sre_compile.py:477(_get_iscased)
53,5,0.0,0.0,0.0,0.0, {built-in method _imp.is_frozen}
54,2,0.0,0.0,0.0,0.0, {method 'index' of 'list' objects}
55,12,0.0,0.0,0.0,0.0, {method '_weak_ref' of 'torch._C.LongStorageBase' objects}
56,12,0.0,0.0,0.0,0.0, {method 'group' of 're.Match' objects}
57,10,0.0,0.0,0.0,0.0, {built-in method _thread.get_ident}
58,9,0.0,0.0,0.0,0.0, sre_parse.py:169(__setitem__)
59,1,0.0,0.0,0.0,0.0, resource_tracker.py:48(__init__)
60,2,0.0,0.0,0.0,0.0, {method 'clear' of 'dict' objects}
61,15,0.0,0.0,0.0,0.0, {method 'isalnum' of 'str' objects}
62,2,0.0,0.0,0.0,0.0, {built-in method torch._C._cuda_getDeviceCount}
63,12,0.0,0.0,0.0,0.0, {method 'items' of 'dict' objects}
64,1,0.0,0.0,0.0,0.0, <frozen importlib._bootstrap_external>:1155(__init__)
65,7,0.0,0.0,0.0,0.0, {built-in method torch._C._has_torch_function_unary}
66,4,0.0,0.0,0.0,0.0, {built-in method _weakref._remove_dead_weakref}
67,4,0.0,0.0,0.0,0.0, {method 'discard' of 'set' objects}
68,14,0.0,0.0,0.0,0.0, {method 'has_names' of 'torch._C._TensorBase' objects}
69,9,0.0,0.0,0.0,0.0, {method 'rfind' of 'str' objects}
70,3,0.0,0.0,0.0,0.0, {method 'register' of 'select.poll' objects}
71,12,0.0,0.0,0.0,0.0, {built-in method from_bytes}
72,13,0.0,0.0,0.0,0.0, argparse.py:2501(_check_value)
73,7,0.0,0.0,0.0,0.0, sre_compile.py:81(_combine_flags)
74,1,0.0,0.0,0.0,0.0, resource_tracker.py:46(ResourceTracker)
75,14,0.0,0.0,0.0,0.0, {method 'remove' of 'list' objects}
76,12,0.0,0.0,0.0,0.0, {method 'size' of 'torch._C.LongStorageBase' objects}
77,9,0.0,0.0,0.0,0.0, {method 'keys' of 'dict' objects}
78,1,0.0,0.0,0.0,0.0, argparse.py:1816(_get_positional_actions)
79,5,0.0,0.0,0.0,0.0, <frozen importlib._bootstrap>:152(__init__)
80,1,0.0,0.0,0.0,0.0, main.py:69(get_model_type)
81,14,0.0,0.0,0.0,0.0, {method 'lower' of 'str' objects}
82,23,0.0,0.0,0.0,0.0, {method 'reverse' of 'list' objects}
83,4,0.0,0.0,0.0,0.0, {built-in method _imp._fix_co_filename}
84,14,0.0,0.0,0.0,0.0, serialization.py:202(__enter__)
85,2,0.0,0.0,0.0,0.0, sre_compile.py:456(_generate_overlap_table)
86,2,0.0,0.0,0.0,0.0, {built-in method posix.waitstatus_to_exitcode}
87,2,0.0,0.0,0.0,0.0, {method 'getbuffer' of '_io.BytesIO' objects}
88,1,0.0,0.0,0.0,0.0, {built-in method posix.uname}
89,1,0.0,0.0,0.0,0.0, popen_spawn_posix.py:16(_DupFd)
90,7,0.0,0.0,0.0,0.0, {built-in method _free_weak_ref}
91,1,0.0,0.0,0.0,0.0, popen_fork.py:12(Popen)
92,4,0.0,0.0,0.0,0.0, context.py:197(get_start_method)
93,2,0.0,0.0,0.0,0.0, connection.py:938(<listcomp>)
94,5,0.0,0.0,0.0,0.0, <frozen importlib._bootstrap>:736(find_spec)
95,1,0.0,0.0,0.0,0.0, <frozen importlib._bootstrap_external>:1179(exec_module)
96,4,0.0,0.0,0.0,0.0, synchronize.py:90(_make_methods)
97,2,0.0,0.0,0.0,0.0, utils.py:284(__enter__)
98,32,0.0,0.0,0.0,0.0, {method 'bit_length' of 'int' objects}
99,18,0.0,0.0,0.0,0.0, {method 'find' of 'str' objects}
100,14,0.0,0.0,0.0,0.0, {method 'storage_offset' of 'torch._C._TensorBase' objects}
101,2,0.0,0.0,0.0,0.0, _weakrefset.py:39(_remove)
102,2,0.0,0.0,0.0,0.0, process.py:247(sentinel)
103,1,0.0,0.0,0.0,0.0, {built-in method _locale.nl_langinfo}
104,6,0.0,0.0,0.0,0.0, spawn.py:87(<genexpr>)
105,4,0.0,0.0,0.0,0.0, <frozen importlib._bootstrap_external>:1006(__init__)
106,7,0.0,0.0,0.0,0.0, {method 'seek' of '_io.BufferedReader' objects}
107,2,0.0,0.0,0.0,0.0, argparse.py:1517(_get_positional_kwargs)
108,4,0.0,0.0,0.0,0.0, __init__.py:464(__getnewargs__)
109,6,0.0,0.0,0.0,0.0, {built-in method _sre.compile}
110,2,0.0,0.0,0.0,0.0, {built-in method select.poll}
111,3,0.0,0.0,0.0,0.0, sre_compile.py:516(_get_charset_prefix)
112,7,0.0,0.0,0.0,0.0, serialization.py:815(_get_restore_location)
113,2,0.0,0.0,0.0,0.0, utils.py:289(stop)
114,3,0.0,0.0,0.0,0.0, subprocess.py:272(_optim_args_from_interpreter_flags)
115,6,0.0,0.0,0.0,0.0, sre_parse.py:76(__init__)
116,4,0.0,0.0,0.0,0.0, connection.py:173(fileno)
117,4,0.0,0.0,0.0,0.0, <frozen importlib._bootstrap>:35(_new_module)
118,1,0.0,0.0,0.0,0.0, __init__.py:74(is_available)
119,1,0.0,0.0,0.0,0.0, argparse.py:1086(__init__)
120,30,0.0,0.0,0.0,0.0, {built-in method _imp.release_lock}
121,43,0.0,0.0,0.0,0.0, {method 'setdefault' of 'dict' objects}
122,4,0.0,0.0,0.0,0.0, os.py:758(decode)
123,1,0.0,0.0,0.0,0.0, posixpath.py:140(basename)
124,7,0.0,0.0,0.0,0.0, serialization.py:314(_check_dill_version)
125,7,0.0,0.0,0.0,0.0, serialization.py:126(_cpu_deserialize)
126,13,0.0,0.0,0.0,0.0, posixpath.py:41(_get_sep)
127,32,0.0,0.0,0.0,0.0, {method 'add' of 'set' objects}
128,8,0.0,0.0,0.0,0.0, process.py:99(_check_closed)
129,18,0.0,0.0,0.0,0.0, popen_spawn_posix.py:17(__init__)
130,7,0.0,0.0,0.0,0.0, context.py:187(get_context)
131,3,0.0,0.0,0.0,0.0, selectors.py:21(_fileobj_to_fd)
132,6,0.0,0.0,0.0,0.0, context.py:357(assert_spawning)
133,3,0.0,0.0,0.0,0.0, argparse.py:1571(_get_handler)
134,2,0.0,0.0,0.0,0.0, queues.py:355(__getstate__)
135,6,0.0,0.0,0.0,0.0, sre_parse.py:928(fix_flags)
136,5,0.0,0.0,0.0,0.0, <frozen importlib._bootstrap>:811(find_spec)
137,4,0.0,0.0,0.0,0.0, <frozen importlib._bootstrap_external>:523(_check_name_wrapper)
138,4,0.0,0.0,0.0,0.0, sre_compile.py:265(_compile_charset)
139,17,0.0,0.0,0.0,0.0, pathlib.py:1089(_init)
140,2,0.0,0.0,0.0,0.0, {built-in method posix.putenv}
141,13,0.0,0.0,0.0,0.0, pathlib.py:102(join_parsed_parts)
142,1,0.0,0.0,0.0,0.0, __init__.py:451(device_count)
143,12,0.0,0.0,0.0,0.0, {method 'split' of 'str' objects}
144,38,0.0,0.0,0.0,0.0, enum.py:792(value)
145,2,0.0,0.0,0.0,0.0, process.py:224(exitcode)
146,37,0.0,0.0,0.0,0.0, {method 'isidentifier' of 'str' objects}
147,20,0.0,0.0,0.0,0.0, sre_parse.py:82(groups)
148,1,0.0,0.0,0.0,0.0, argparse.py:131(_get_kwargs)
149,9,0.0,0.0,0.0,0.0, <frozen importlib._bootstrap_external>:1346(_path_importer_cache)
