,ncalls,tottime,percall,cumtime,percall2,filename:lineno(function)
0,1,0.0,0.0,0.0,0.0, {built-in method builtins.iter}
1,1,0.0,0.0,0.0,0.0, {method 'groups' of 're.Match' objects}
2,1,0.0,0.0,0.0,0.0, __init__.py:96(<lambda>)
3,1,0.0,0.0,0.0,0.0, argparse.py:2468(<listcomp>)
4,1,0.0,0.0,0.0,0.0, argparse.py:134(_get_args)
5,1,0.0,0.0,0.0,0.0, context.py:213(_check_available)
6,1,0.0,0.0,0.0,0.0, {method 'write' of '_io.TextIOWrapper' objects}
7,2,0.0,0.0,0.0,0.0, selectors.py:200(__enter__)
8,1,0.0,0.0,0.0,0.0, argparse.py:1295(__init__)
9,1,0.0,0.0,0.0,0.0, {built-in method _imp.exec_dynamic}
10,1,0.0,0.0,0.0,0.0, {method 'values' of 'dict' objects}
11,4,0.0,0.0,0.0,0.0, <frozen importlib._bootstrap_external>:841(create_module)
12,4,0.0,0.0,0.0,0.0, <frozen importlib._bootstrap_external>:1031(get_filename)
13,4,0.0,0.0,0.0,0.0, connection.py:168(writable)
14,1,0.0,0.0,0.0,0.0, argparse.py:958(__call__)
15,5,0.0,0.0,0.0,0.0, <frozen importlib._bootstrap>:406(has_location)
16,2,0.0,0.0,0.0,0.0, process.py:205(daemon)
17,3,0.0,0.0,0.0,0.0, spawn.py:45(get_executable)
18,1,0.0,0.0,0.0,0.0, {built-in method builtins.locals}
19,4,0.0,0.0,0.0,0.0, sre_parse.py:163(__delitem__)
20,1,0.0,0.0,0.0,0.0, popen_spawn_posix.py:26(Popen)
21,1,0.0,0.0,0.0,0.0, {method 'disable' of '_lsprof.Profiler' objects}
22,4,0.0,0.0,0.0,0.0, {built-in method time.perf_counter_ns}
23,8,0.0,0.0,0.0,0.0, <frozen importlib._bootstrap_external>:68(_relax_case)
24,1,0.0,0.0,0.0,0.0, argparse.py:2177(<listcomp>)
25,3,0.0,0.0,0.0,0.0, {method 'index' of 'str' objects}
26,4,0.0,0.0,0.0,0.0, process.py:37(current_process)
27,10,0.0,0.0,0.0,0.0, {built-in method builtins.ord}
28,1,0.0,0.0,0.0,0.0, {built-in method _imp.is_builtin}
29,2,0.0,0.0,0.0,0.0, {method 'size' of 'torch._C.HalfStorageBase' objects}
30,7,0.0,0.0,0.0,0.0, argparse.py:613(<listcomp>)
31,4,0.0,0.0,0.0,0.0, connection.py:139(_check_closed)
32,2,0.0,0.0,0.0,0.0, process.py:213(authkey)
33,4,0.0,0.0,0.0,0.0, util.py:48(debug)
34,2,0.0,0.0,0.0,0.0, {method '_weak_ref' of 'torch._C.HalfStorageBase' objects}
35,4,0.0,0.0,0.0,0.0, {method 'decode' of 'bytes' objects}
