,ncalls,tottime,percall,cumtime,percall2,filename:lineno(function)
0,1,0.0,0.0,0.0,0.0, __init__.py:96(<lambda>)
1,1,0.0,0.0,0.0,0.0, {built-in method builtins.iter}
2,1,0.0,0.0,0.0,0.0, argparse.py:2468(<listcomp>)
3,1,0.0,0.0,0.0,0.0, context.py:213(_check_available)
4,1,0.0,0.0,0.0,0.0, {method 'groups' of 're.Match' objects}
5,1,0.0,0.0,0.0,0.0, {method 'write' of '_io.TextIOWrapper' objects}
6,2,0.0,0.0,0.0,0.0, {built-in method _stat.S_ISDIR}
7,1,0.0,0.0,0.0,0.0, {built-in method _imp.exec_dynamic}
8,1,0.0,0.0,0.0,0.0, argparse.py:134(_get_args)
9,1,0.0,0.0,0.0,0.0, {method 'values' of 'dict' objects}
10,2,0.0,0.0,0.0,0.0, selectors.py:200(__enter__)
11,3,0.0,0.0,0.0,0.0, spawn.py:45(get_executable)
12,2,0.0,0.0,0.0,0.0, {built-in method posix.waitstatus_to_exitcode}
13,1,0.0,0.0,0.0,0.0, argparse.py:1295(__init__)
14,4,0.0,0.0,0.0,0.0, <frozen importlib._bootstrap_external>:841(create_module)
15,4,0.0,0.0,0.0,0.0, connection.py:168(writable)
16,2,0.0,0.0,0.0,0.0, process.py:205(daemon)
17,4,0.0,0.0,0.0,0.0, sre_parse.py:163(__delitem__)
18,1,0.0,0.0,0.0,0.0, argparse.py:958(__call__)
19,4,0.0,0.0,0.0,0.0, <frozen importlib._bootstrap_external>:1031(get_filename)
20,5,0.0,0.0,0.0,0.0, <frozen importlib._bootstrap>:406(has_location)
21,4,0.0,0.0,0.0,0.0, process.py:37(current_process)
22,1,0.0,0.0,0.0,0.0, argparse.py:2177(<listcomp>)
23,2,0.0,0.0,0.0,0.0, process.py:213(authkey)
24,1,0.0,0.0,0.0,0.0, {built-in method builtins.locals}
25,4,0.0,0.0,0.0,0.0, connection.py:139(_check_closed)
26,1,0.0,0.0,0.0,0.0, popen_spawn_posix.py:26(Popen)
27,1,0.0,0.0,0.0,0.0, {method 'disable' of '_lsprof.Profiler' objects}
28,10,0.0,0.0,0.0,0.0, {built-in method builtins.ord}
29,4,0.0,0.0,0.0,0.0, {built-in method builtins.id}
30,1,0.0,0.0,0.0,0.0, <frozen importlib._bootstrap_external>:175(_path_isabs)
31,1,0.0,0.0,0.0,0.0, codecs.py:186(__init__)
32,3,0.0,0.0,0.0,0.0, {method 'index' of 'str' objects}
33,1,0.0,0.0,0.0,0.0, {built-in method _imp.is_builtin}
34,7,0.0,0.0,0.0,0.0, storage.py:13(__init__)
35,2,0.0,0.0,0.0,0.0, {method '_weak_ref' of 'torch._C.HalfStorageBase' objects}
36,8,0.0,0.0,0.0,0.0, <frozen importlib._bootstrap_external>:68(_relax_case)
37,2,0.0,0.0,0.0,0.0, {method 'size' of 'torch._C.HalfStorageBase' objects}
38,4,0.0,0.0,0.0,0.0, {built-in method time.perf_counter_ns}
39,5,0.0,0.0,0.0,0.0, {method 'get' of 'mappingproxy' objects}
40,4,0.0,0.0,0.0,0.0, connection.py:163(readable)
41,2,0.0,0.0,0.0,0.0, argparse.py:579(<listcomp>)
42,6,0.0,0.0,0.0,0.0, util.py:44(sub_debug)
43,11,0.0,0.0,0.0,0.0, {method 'extend' of 'list' objects}
44,7,0.0,0.0,0.0,0.0, argparse.py:613(<listcomp>)
45,7,0.0,0.0,0.0,0.0, serialization.py:205(__exit__)
46,1,0.0,0.0,0.0,0.0, argparse.py:1817(<listcomp>)
47,2,0.0,0.0,0.0,0.0, utils.py:280(__init__)
48,4,0.0,0.0,0.0,0.0, util.py:48(debug)
49,7,0.0,0.0,0.0,0.0, {method 'clear' of 'list' objects}
50,4,0.0,0.0,0.0,0.0, {method 'discard' of 'set' objects}
51,4,0.0,0.0,0.0,0.0, {method 'decode' of 'bytes' objects}
52,4,0.0,0.0,0.0,0.0, {method 'find' of 'bytearray' objects}
53,12,0.0,0.0,0.0,0.0, {method 'items' of 'dict' objects}
54,10,0.0,0.0,0.0,0.0, {built-in method _thread.get_ident}
55,15,0.0,0.0,0.0,0.0, {method 'isalnum' of 'str' objects}
56,1,0.0,0.0,0.0,0.0, resource_tracker.py:48(__init__)
57,12,0.0,0.0,0.0,0.0, {method 'group' of 're.Match' objects}
58,10,0.0,0.0,0.0,0.0, sre_compile.py:477(_get_iscased)
59,2,0.0,0.0,0.0,0.0, {method 'index' of 'list' objects}
60,1,0.0,0.0,0.0,0.0, resource_tracker.py:46(ResourceTracker)
61,1,0.0,0.0,0.0,0.0, argparse.py:2173(<listcomp>)
62,1,0.0,0.0,0.0,0.0, popen_fork.py:12(Popen)
63,4,0.0,0.0,0.0,0.0, {built-in method _weakref._remove_dead_weakref}
64,9,0.0,0.0,0.0,0.0, sre_parse.py:169(__setitem__)
