,ncalls,tottime,percall,cumtime,percall2,filename:lineno(function)
0,1,0.0,0.0,0.0,0.0, {built-in method builtins.iter}
1,1,0.0,0.0,0.0,0.0, context.py:213(_check_available)
2,1,0.0,0.0,0.0,0.0, {method 'groups' of 're.Match' objects}
3,1,0.0,0.0,0.0,0.0, argparse.py:134(_get_args)
4,1,0.0,0.0,0.0,0.0, __init__.py:96(<lambda>)
5,1,0.0,0.0,0.0,0.0, argparse.py:2468(<listcomp>)
6,1,0.0,0.0,0.0,0.0, {method 'write' of '_io.TextIOWrapper' objects}
7,1,0.0,0.0,0.0,0.0, argparse.py:1295(__init__)
8,2,0.0,0.0,0.0,0.0, selectors.py:200(__enter__)
9,1,0.0,0.0,0.0,0.0, {built-in method _imp.exec_dynamic}
10,1,0.0,0.0,0.0,0.0, {method 'values' of 'dict' objects}
11,2,0.0,0.0,0.0,0.0, {built-in method _stat.S_ISDIR}
12,4,0.0,0.0,0.0,0.0, <frozen importlib._bootstrap_external>:841(create_module)
13,4,0.0,0.0,0.0,0.0, process.py:37(current_process)
14,3,0.0,0.0,0.0,0.0, spawn.py:45(get_executable)
15,4,0.0,0.0,0.0,0.0, <frozen importlib._bootstrap_external>:1031(get_filename)
16,2,0.0,0.0,0.0,0.0, process.py:205(daemon)
17,4,0.0,0.0,0.0,0.0, sre_parse.py:163(__delitem__)
18,2,0.0,0.0,0.0,0.0, process.py:213(authkey)
19,1,0.0,0.0,0.0,0.0, argparse.py:2177(<listcomp>)
20,5,0.0,0.0,0.0,0.0, <frozen importlib._bootstrap>:406(has_location)
21,1,0.0,0.0,0.0,0.0, argparse.py:958(__call__)
22,1,0.0,0.0,0.0,0.0, <frozen importlib._bootstrap_external>:175(_path_isabs)
23,4,0.0,0.0,0.0,0.0, connection.py:139(_check_closed)
24,1,0.0,0.0,0.0,0.0, popen_spawn_posix.py:26(Popen)
25,4,0.0,0.0,0.0,0.0, {built-in method time.perf_counter_ns}
